shop_id,name,branchname,alt_name,phone,regionname,address,cross_road,big_category,small_category,longitude,latitude
1608151.0,东风日产森宝专营店,森宝专营店,,82876229,萧山区,市心北路,,爱车,爱车,120.26916,30.21896
1609222.0,汇文书店,,,82815935,萧山区,市心北路剧院1楼,,购物,书店音像,120.254473,30.23575
2276134.0,浅醉坊餐厅,,,,萧山区,市心北路737号51风尚酒店内,,美食,粤菜馆,120.2682,30.216795
2310277.0,51风尚酒店中餐厅,,,82869999,北干,市心北路737号,,美食,浙菜,120.264538,30.219811
2670130.0,鸿伟大排档,,,82816580,萧山区,市心北路,近国税局,美食,浙菜,120.254473,30.23575
2912638.0,开元之江清洗,佳境天城店,,,萧山区,佳境天城门口,振宁路边,生活服务,更多生活服务,120.268177,30.220929
3825721.0,中国农业银行,盈丰分理处,,95599,萧山区,宁围镇盈丰街,,生活服务,营业网点,120.258235,30.234343
4156091.0,市心北路浴室,,,,萧山区,市心北路,,休闲娱乐,洗浴/汗蒸,120.26687,30.228495
5490504.0,笑眯眯婴葆园,,,82629895;28982888,萧山区,宁围镇佳境天城佳境街35-36号,近佳境天城幼儿园,生活服务,更多生活服务,120.267179,30.216581
5603962.0,东之艺形象化妆艺术培训,,,82871257,萧山区,市心北路恒逸南明珠广场1栋2单元,近萧山飞机场,教育培训,美妆从业,120.266871,30.228496
6280749.0,萧山农村合作银行24小时自助银行,,,,市心北路,市心北路835号,,生活服务,ATM自助网点,120.267799,30.218607
6281987.0,萧山农村合作银行,盈丰分理处,,82865160,市心北路,盈丰街2号,,生活服务,营业网点,120.260529,30.234329
6281995.0,萧山农村合作银行,新城支行,,,萧山区,市心北路825号,,生活服务,营业网点,120.26778,30.218613
6316055.0,市心药店,,,,萧山区,盈丰街32号,盈丰医院南,医疗健康,药店,120.25987,30.234187
6321810.0,宁围镇丰二社区卫生服务站,,,,萧山区,丰二村422,,医疗健康,社区医院,120.25394,30.22128
6322320.0,盈丰医院,,,82834637,萧山区,盈丰街26号,,医疗健康,综合医院,120.25959,30.23447
6322321.0,杭州华联超市,,,18867130069,市心北路,盈丰街6号,,购物,超市/便利店,120.26037,30.23438
6505669.0,中国邮政储蓄银行ATM,盈丰支行,,,萧山区,盈丰街1号,,生活服务,ATM自助网点,120.260421,30.234056
6506311.0,中国农业银行ATM,盈丰分理处网点,,,萧山区,萧钱线,,生活服务,ATM自助网点,120.258217,30.234336
6512884.0,萧山农村合作银行,宁围分理处,,,萧山区,振宁路,,生活服务,营业网点,120.26235,30.215565
6543897.0,乐惠多超市,,,,萧山区,鹏起路,合丰村卫生室东北,购物,超市/便利店,120.243484,30.221209
6546050.0,世纪华联超市,,,,萧山区,鸿宁路,,购物,超市/便利店,120.26051,30.236397
6546075.0,丰盛超市,,,82690460,市心北路,振宁路400号430号,,购物,超市/便利店,120.26807,30.21549
6546085.0,乐惠多超市丰东店,,,,北干,合丰四路,,购物,超市/便利店,120.264684,30.22006
6547816.0,上海联都超市,,,,萧山区,盈丰街2号,盈丰医院东南,购物,超市/便利店,120.261526,30.233739
6547824.0,上海青远超市盈丰店,,,,萧山区,萧钱线,,购物,超市/便利店,120.258214,30.234722
6547919.0,世纪华联,,,,萧山区,市心北路317号461号,建伟大厦北,购物,超市/便利店,120.26805,30.219639
6552379.0,久达信超市,,,,吴山广场/河坊街,流金广场,,购物,超市/便利店,120.267455,30.216837
6552386.0,康洁副百商行,,,82628279,市心北路,市心北路829号,,购物,超市/便利店,120.268029,30.21885
6552389.0,喜士多便利店,,,,吴山广场/河坊街,流金广场,市心北路加油站-机场高速上口处,购物,超市/便利店,120.267972,30.216605
8014412.0,自然美全方位美容美体中心,振宁路店,Natural Beauty,82658561,萧山区,振宁路859号,,丽人,美容/SPA,120.265858,30.215647
8051701.0,郑远元专业修脚房,振宁路店,,13777359444,萧山区,振宁路852号,近佳境天城幼儿园,休闲娱乐,按摩/足疗,120.26603,30.21594
9068234.0,新阿里芭芭娱乐城KTV,,,18668050908,北干,市心北路789号,开元明都对面,休闲娱乐,娱乐会所,120.26881,30.21798
9200691.0,远东大食堂,,,,萧山区,宁围镇盈一村鸿宁路,,美食,快餐简餐,120.26373,30.236266
9208290.0,盈丰饭店,萧钱线店,,,萧山区,萧钱线,,美食,浙菜,120.258174,30.227387
10009791.0,西北牛肉面,,,,萧山区,振宁路868,近市心北路,美食,面馆,120.26591,30.21611
10487087.0,国色天香酒家,,,13989821382,萧山区,振宁路933号,,美食,浙菜,120.264144,30.21583
10487112.0,尝来尝往土菜馆,,,13777436550,萧山区,市心北路563号,,美食,农家菜,120.26921,30.21394
10966789.0,萧山管道燃气发展有限公司,,,,萧山区,宁围振宁路803号,,生活服务,公司企业,120.267899,30.215396
10967013.0,萧山区世纪飞虹幼儿园,顺丰家园园区,,85123601,萧山区,文明路580号,,教育培训,幼儿园,120.26244,30.21355
10967021.0,宁围镇丰北村便民服务中心,,,82694502,市心北路,萧钱线与鸿宁路交叉口南150米,,生活服务,公司企业,120.258186,30.235718
10967253.0,萧山图书馆,合丰村分馆,,,萧山区,合丰北,,休闲娱乐,图书馆,120.243088,30.218636
10967598.0,市宁围综合高级中学,,,,市心北路,萧钱线,,教育培训,高中,120.258194,30.232591
10967604.0,盈丰电脑,,,82864273,市心北路,市心北路1808号,,购物,数码产品,120.26014,30.23318
10967999.0,华林烟酒,,,,市心北路,盈丰街,盈丰医院东,购物,烟酒茶叶,120.261923,30.234019
