index,name,latitude,longitude,address,postalcode
osm_1,Commonwealth Building,40.43894140622635,-80.00088509843319,"Fourth Avenue, 316",15222
osm_2,Howler's Coyote Cafe,40.4629721,-79.9513633,,
osm_3,UPitt Playground,40.44795041729272,-79.94493422254482,,
osm_4,Potomac Bakery,40.3808267,-80.0442119,"Washington Road, 685",15228
osm_5,Episcopal Church of the Epiphany,40.49795903384061,-80.06168437880247,,
osm_6,Esser's Floral Shop,40.42901061183467,-79.98594240001933,"East Carson Street, 1122",15203
osm_7,Trinity Lutheran Church,40.45454221652805,-80.01292827415593,,
osm_8,Advance Auto Parts,40.4315994,-79.9785305,1937,
osm_9,Allegheny Therapy and Wellness,40.4524635,-80.0139461,"Western Avenue, 808",15233
osm_10,Westinghouse Shelter,40.4382294,-79.9439513,,
osm_11,Millvale Riverfront Park,40.47208326343541,-79.97194357190071,,
osm_12,Mount Washington Post Office,40.4305755,-80.0070519,,
osm_13,Wilson Park,40.41799524872833,-80.05098910950953,,
osm_14,Cheveron Science Center,40.4458958005449,-79.95802038304504,,
osm_15,Siegel and Portnoy,40.4283708,-79.9759349,,
osm_16,PNC Park Box Office,40.4480369,-80.0050238,,
osm_17,McBubbles Car Wash,40.492945111153205,-80.0630934125231,,
osm_18,H&R Block,40.3997131,-80.0429273,,
osm_19,Dormont Junction,40.391560543545154,-80.04107123732257,,
osm_20,PNC Bank,40.4589585,-79.9269605,"Center Avenue, 5932",15206
osm_21,St. Vincent de Paul Thrift Store,40.36709617369606,-80.01374543858645,"Library Road, 3423",
osm_22,Brighton Road Auto Sales,40.4753779,-80.0301018,"Brighton Road, 3160",
osm_23,CMU Tennis Courts,40.44241221942671,-79.94207478704969,,
osm_24,Amos Family Dentistry,40.3887418,-80.0501093,"Beverly Road, 310",15216
osm_25,Jack Maggs Agency,40.3960902,-79.998512,,
osm_26,Public Safety Center,40.38290820264913,-80.04349126753895,"Washington Road, 555",
osm_27,Hitchhiker Brewing Company,40.4961891,-79.9263342,"South Canal Street, 1500",
osm_28,Amazing Books,40.4340451,-79.9229022,"Murray Avenue, 2030",
osm_29,Huntington Bank,40.45399504285749,-79.99898186300503,,
osm_30,Sue Murray Swimming Pool,40.45094954866878,-80.00153818382758,,
osm_31,Crazy Mocha,40.4381763,-79.9986315,,
osm_32,Cardello Building,40.44924626919698,-80.02699599492658,"North Point Drive, 701",15233
osm_33,The Book Center,40.4429459,-79.9559371,,
osm_34,Anita-Stitch,40.3649399,-79.9839794,,
osm_35,William Penn Association,40.45091678511312,-80.01403225720834,"Brighton Road, 709",
osm_36,Point Park University - Academic Hall,40.43903313450495,-80.00219766434151,,15222
osm_37,Sharpsburg Volunteer Fire Department,40.493979,-79.9250363,,
osm_38,McKees Rocks Police Department,40.4649536,-80.0579837,,
osm_39,Motor Square Garden,40.45978407103382,-79.92697390560885,"Baum Boulevard, 5900",15206
osm_40,Midtown Towers,40.441999900000006,-80.00020215,"Liberty Avenue, 643",
osm_41,City Vista,40.42696421718039,-80.0369859085369,,
osm_43,Community Library of Castle Shannon,40.3680845,-80.0219576,,
osm_45,Ambiance Hair & Nail Salon,40.4565662,-80.0069629,,
osm_46,Steel City Market,40.4536497,-79.9990091,,
osm_47,Library for the Blind Carnegie Free Library of Pittsburgh,40.4540466282484,-79.94917483748377,,
osm_48,Milton Hall,40.44950431168872,-80.01402654942848,,
osm_49,Riverview Park,40.48108707525996,-80.02041298485186,,
osm_50,Rea House,40.447925397086266,-79.92298157470874,,
osm_51,Panera Bread,40.4359555,-79.9580355,,
osm_52,DiSilvas Pizzeria,40.37402,-79.9760169,,
osm_53,Shadeland Beer,40.49023005,-80.044918,,
osm_54,Mekong,40.395545623931866,-80.03485073884247,Potomac Avenue,15216
osm_55,Steel Plaza,40.4398958,-79.99503,,
osm_56,Brightside Academy,40.436774825474174,-80.00050932542624,"Smithfield Street, 4, 6",15222
osm_57,Katsur Dental,40.4315466,-79.9780787,1955,
osm_58,Lincoln Elementary School Library,40.46007,-79.91144,,
osm_59,Valero,40.45591496703279,-80.01592780021522,,
osm_60,Wendy's,40.41635021890769,-79.92495663262125,"Browns Hill Rd, 4524",15217
osm_61,Save-Mor Beer and Pop Warehouse,40.4170675,-79.9249356,,
osm_62,Waldorf School of Pittsburgh,40.4639135,-79.943092,,
osm_63,Monongahela Incline Lower Station,40.432453832041695,-80.005036157523,,
osm_64,Keystone Oaks Middle School,40.38765249270144,-80.03102486518458,,
osm_65,Two PPG Place,40.44044179023137,-80.00329637689497,"PPG Place, 2",15222
osm_66,East 8th Avenue at West,40.40595073601799,-79.91192975921918,,
osm_67,Potomac,40.3972312,-80.0359548,,
